spotify_uri,title,artist,album,popularity_proxy,spotify_popularity,listeners,playcount,tags,energy,bpm,key,scale,duration_s,has_lyrics,word_count,line_count
spotify:track:3EXrtClWmgsM7dw75Mw2M1,"When You're Gone","The Cranberries","To The Faithful Departed",87,71,705245,4915940,"[""rock"",""90s"",""female vocalists"",""alternative"",""irish""]",57.5,93.8,G,minor,272.38,1,181,62
spotify:track:3EsjrObXPhXA79Cr4QixY8,"El Matador","Los Fabulosos Cadillacs","20 Grandes Exitos",75,61,139324,620117,[],41.3,97.0,A,minor,304.32,1,260,58
spotify:track:3QnCm1WofA1nsWO3CWFu3t,"System Preferences","Tera Melos","Trash Generator",64,,24378,80743,[],92.2,81.5,E,minor,216.53,1,202,22
spotify:track:3SsXEH9Z7JZ0mdcn5gF4oR,Mosquito,Model/Actriz,Dogsbody,73,,67730,437621,[],97.6,102.3,E,major,192.77,1,272,40
spotify:track:3XnmHCsBIO4cDW73UUrtkA,"Shankill Butchers","The Decemberists","The Crane Wife",79,,216458,1114177,[],38.2,81.5,G#,major,279.6,1,196,27
spotify:track:3ciMXKwXlLCFcQCyhKblZs,"Roller Skates","Steel Pulse","Earth Crisis",72,,74063,333675,[],22.6,79.2,A,major,296.66,1,495,77
spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,"Mary Jane's Last Dance","Tom Petty and the Heartbreakers","Greatest Hits",87,82,709523,5297082,"[""classic rock"",""rock"",""Tom Petty"",""80s"",""90s""]",18.5,85.2,A#,major,280.72,1,268,39
spotify:track:3dxDj8pDPlIHCIrUPXuCeG,Sandstorm,Darude,"Before the Storm",87,74,909657,5086449,"[""trance"",""dance"",""techno"",""electronic"",""electronica""]",14.5,137.2,E,minor,232.28,0,0,0
spotify:track:3pM7gfel0ho7yVJw4KK5Eq,"Independence Day","Elliott Smith",XO,84,50,428163,3076370,[],56.5,87.9,C,major,184.91,1,98,32
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning",Djo,DECIDE,97,97,2084843,36081085,"[""metalcore"",""deathcore"",""rock"",""death metal"",""post metal""]",68.6,80.4,D,major,159.3,1,197,26
spotify:track:3ySU5vwQB33iGulwcUL9qQ,"Don't Take The Money",Bleachers,"Gone Now",84,,298494,3462202,[],54.6,110.3,C#,major,306.15,1,457,72
spotify:track:3yndKI4zWEyC36BQYrdKBA,"Hit Sale","Therapie TAXI, Roméo Elvis","Hit Sale",47,66,789,6196,[],54.8,81.5,B,minor,199.12,1,454,57
spotify:track:3zG1Xt4ikeUWb8lDRogLx9,Gitana,"Derby Motoreta’s Burrito Kachimba","Hilo Negro",57,40,5023,28127,[],75.0,98.7,B,major,362.44,1,174,36
spotify:track:45uW2Ev9c3iUUtpO5yQEOw,Westfall,"Okkervil River","Don't Fall In Love With Everyone You See",73,,77405,465879,[],85.2,72.1,G,major,354.67,1,252,36
spotify:track:47emsK4Cj4dMqctYq18U03,"All Eyes On Me (Song Only)","Bo Burnham","All Eyes On Me (Song Only)",83,,267433,2836459,[],74.4,117.2,F#,major,212.86,1,396,61
spotify:track:4EVg8veaPIgAx3m2QioPdV,"Ceiling Granny",Mogwai,"As The Love Continues",66,23,26732,116058,[],86.9,76.0,D,major,235.65,0,0,0
spotify:track:4RaxnzmTN4bojbbEYtvXjk,"The Ghost of Tom Joad","Bruce Springsteen","The Ghost Of Tom Joad",76,,145273,749818,[],29.2,87.9,B,minor,263.77,1,280,38
spotify:track:4Zb88sF1Qj778KV5lstVxT,"French Disko",Stereolab,"Refried Ectoplasm [Switched On Volume 2]",79,52,253197,1236255,[],31.4,82.7,C,minor,200.92,1,127,25
spotify:track:4eMxLQtSdgxdA1Hs6D2YuN,"In Hell I'll Be in Good Company","The Dead South","Good Company",78,71,156046,1223472,[],31.9,78.1,G,major,249.56,1,226,28
spotify:track:4geRP2dEYVngPcQR6XGBxF,"I Think I'm Going To Hell - Live","My Morning Jacket","MMJ Live Vol. 2: Chicago 2021",67,13,36736,132861,[],26.0,75.0,A#,major,322.57,1,81,16
spotify:track:4ka1FkKAMde6dQAFFMXKac,"i hope ur miserable until ur dead","Nessa Barrett","i hope ur miserable until ur dead",83,,311068,3011667,[],71.5,117.2,D,major,191.82,1,327,38
spotify:track:4r8thRU9mwxBvb1LlXma1p,"Just Kiss Me","Harry Connick, Jr.","Blue Light, Red Light",58,25,11225,27689,[],36.9,85.2,F,major,293.47,1,223,43
spotify:track:4rcHWl68ai6KvpXlc8vbnE,"Keep on Loving You","REO Speedwagon","Hi Infidelity (30th Anniversary Edition)",85,76,609919,3339787,[],40.9,89.3,F,minor,230.55,1,197,30
spotify:track:4teAkTVhFZzkZdWEOOW3ci,Rolling,"Soul Coughing","El Oso",71,,65216,314672,[],75.1,92.2,E,major,216.31,1,344,41
spotify:track:4uYGT9xCkXYSsHxnbnRqGu,"Good Time Boy","Prof, Fueled by 808","Good Time Boy",30,,84,216,[],60.0,110.3,D#,major,240.96,1,524,72
spotify:track:4yNK2ybBbO7CiuSyTNvBc8,Beams,"Arlo Parks","Ambiguous Desire",67,,42014,116438,[],13.8,86.5,B,major,323.93,1,314,35
spotify:track:56K2S3d7eZZStjaSKSTgXm,"Malagueña","Lucas Imbiriba","Malagueña",46,31,1031,4427,[],40.4,117.2,E,minor,336.02,0,0,0
spotify:track:56hYeuutlZO5Pkm99FzLCW,"Get Free","Major Lazer, Amber Coffman","Free The Universe (Extended Version)",80,,232973,1520403,[],39.1,87.9,G,major,241.42,1,279,51
spotify:track:57c0n9yCY10cZ30tXSrxOi,"Seanchaí","The Scratch","Couldn't Give a Rats",55,39,4498,18576,[],50.4,72.1,F#,major,220.38,1,471,39
spotify:track:5B8N5rPOmTVVGpuBMK2Vby,"Teen Idle",MARINA,"Electra Heart (Deluxe)",88,,614639,6427910,"[""pop"",""downtempo"",""art pop"",""synthpop"",""alt-pop""]",69.3,122.3,D,minor,254.4,1,370,53
spotify:track:5Llanvs8zPL8f6HMY9WWf8,DEViL,IDK,"e.t.d.s. A Mixtape by .idk.",67,52,37164,123138,[],97.8,117.2,G#,minor,133.56,0,0,0
spotify:track:5V0AWCNERrcnKoDixpaTqP,"Rescue Me",Y&T,"Earthshaker (Expanded Edition)",63,,20015,64425,[],76.3,110.3,A,minor,283.37,1,274,34
spotify:track:5iXnD2VizcAbErpkcuNQ6I,MYSTERY,Turnstile,"GLOW ON",84,60,304690,3459637,[],65.7,82.7,E,minor,165.34,1,106,21
spotify:track:5uxZ7bEBWDpZZEtzuo5VB1,"David Bowie Wants Ideas",Bongwater,"Box of Bongwater",50,,2645,7644,[],50.2,127.8,E,minor,134.0,0,0,0
spotify:track:5vfg8mxKVeKIHMEvhcAEDN,"Весна",Dolphin,"Звезда",70,46,38920,270019,[],42.5,110.3,F,major,290.02,1,80,20
spotify:track:6ET9kf9riLETWs9lePUEAI,"Slow Burn","Kacey Musgraves","Golden Hour",84,72,342089,3807932,[],61.0,74.0,F#,minor,247.21,1,208,32
spotify:track:6Jub05dvpbF4Im83NqMCUg,"United States Of Whatever","Liam Lynch","Fake Songs",80,,282037,1552081,[],45.6,108.2,A,major,88.84,1,175,12
spotify:track:6LgJvl0Xdtc73RJ1mmpotq,"Paranoid Android",Radiohead,"OK Computer",96,74,2485971,28028699,"[""alternative rock"",""alternative"",""rock"",""indie"",""radiohead""]",15.4,80.4,A,minor,392.57,1,258,58
spotify:track:6Pxqd7tcXE0t4mfK7PGDra,"Guess I'm Doing Fine",Beck,"Sea Change",80,,308280,1452784,[],61.2,119.7,E,major,289.29,1,123,20
spotify:track:6QYVVHpGvyl77uqfPGZDSu,"You Ain't Alone","Alabama Shakes","Boys & Girls (Deluxe Edition)",77,22,175290,805374,[],37.7,122.3,C,major,359.65,1,213,34
spotify:track:6VWsWgliFma9IFL2NlQ1H7,"Check the Lock",clipping.,"Visions of Bodies Being Burned",74,,81623,572119,[],85.0,100.4,E,minor,217.32,1,659,76
spotify:track:6dsTMRIpvObTocRwTzf4Uv,"One Of Those Days","Dirty Heads","One Of Those Days",50,55,2510,7848,[],83.6,86.5,G,major,189.7,1,434,57
spotify:track:6s0F09N7jp4wSqN8vVgMQR,"Back To Oz","Sufjan Stevens, Angelo De Augustine","A Beginner's Mind",56,49,5378,24498,[],70.0,85.2,C#,minor,253.93,1,301,53
spotify:track:6uEvFCaOqXyEidoO8BZbyh,"Du hast",Rammstein,Sehnsucht,92,66,1364276,13693277,"[""industrial metal"",""metal"",""german"",""industrial"",""Rammstein""]",53.1,125.0,E,minor,235.01,1,160,32
spotify:track:71EHOyEOhNx1SzTebRRyng,Weak,SWV,"It's About Time",83,71,401731,2442164,[],28.6,127.8,A,minor,278.53,1,534,70
spotify:track:756CJtQRFSxEx9jV4P9hpA,"I Believe in a Thing Called Love","The Darkness","Permission to Land",88,75,908447,6326227,"[""rock"",""glam rock"",""hard rock"",""british"",""classic rock""]",90.3,127.8,F,major,232.0,1,188,26
spotify:track:7KvSuH86lIT2aTl9PBCAfd,"6 Underground","Sneaker Pimps","Becoming X",86,,680941,4109282,"[""lush"",""trip-hop"",""chillout"",""electronic"",""trip hop""]",19.7,85.2,F#,minor,235.5,1,197,49
spotify:track:7dSCxR4LqkmxoBrq9MzVSD,"Psycho Killer","Talking Heads","Talking Heads '77",89,80,1196087,6766202,"[""new wave"",""80s"",""post-punk"",""rock"",""alternative""]",49.7,125.0,A,minor,263.19,1,230,42
spotify:track:7mczLeiFeYKRb7vtiPjuMb,DArkSide,"Bring Me The Horizon","POST HUMAN: NeX GEn",87,76,376208,6386356,"[""metalcore"",""alternative metal"",""rock"",""metal"",""post-hardcore""]",94.4,85.2,A,minor,165.11,1,276,50
spotify:track:7nYvUtkQMx1v80S2FH2s9J,Regulate,"Warren G, Nate Dogg","Regulate… G Funk Era",87,74,831888,4931405,"[""Hip-Hop"",""rap"",""G-funk"",""90s"",""hip hop""]",69.2,95.3,E,minor,238.25,1,588,68
spotify:track:7omij53d6AvXefx13NNyfn,"Where's The Catch? (feat. André 3000)","James Blake, André 3000","Assume Form",51,47,2241,10222,[],76.7,92.2,C,minor,276.01,1,399,71
spotify:track:7wdsny4I4vMLY4wCF9FDkr,"Nights Like These",Lucero,Tennessee,68,,29880,225496,[],73.1,75.0,D,major,235.68,1,203,34
spotify:track:7wdzLe2Gsx1RGqbvYZHASz,i,"Kendrick Lamar",i,91,70,1087018,12499879,"[""rap"",""funk"",""hip hop"",""Hip-Hop"",""Neo Soul""]",33.4,122.3,F,minor,282.08,1,658,85
